kegg	eawag	alam	kegg	eawag	alam
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00100	1	1	C00109	0	1
C16396	0	0	C16399	0	0
C16396	0	0	C16399	0	0
C16399	0	0	C16396	0	0
C00011	1	1	C00022	1	1
C00011	1	1	C00022	1	1
C00022	1	1	C00011	1	1
C00022	1	1	C00011	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00024	1	1	C00022	1	1
C00100	1	1	C00109	0	1
C16396	0	0	C16399	0	0
C16396	0	0	C16399	0	0
C16399	0	0	C16396	0	0
C00011	1	1	C00022	1	1
C00011	1	1	C00022	1	1
C00022	1	1	C00011	1	1
C00022	1	1	C00011	1	1
C00022	1	1	C00024	1	1
C00022	1	1	C00024	1	1
